,id,price,quoteQty,isBestMatch,qty,isBuyerMaker,pricepct,pricesign,target
26921,163591857,96.89,60.0718,True,0.62,False,0.0,0.0,
26920,163591858,96.89,42.6316,True,0.44,True,0.0,0.0,
26919,163591859,96.9,775.2,True,8.0,False,0.00010320982557554537,1.0,1.0
26918,163591860,96.91,95.9409,True,0.99,False,0.00010319917440648751,1.0,1.0
26917,163591861,96.91,14.5365,True,0.15,False,0.0,0.0,1.0
26916,163591862,96.91,219.0166,True,2.26,False,0.0,0.0,1.0
26915,163591863,96.9,98.838,True,1.02,True,-0.0001031885254358933,-1.0,-1.0
26914,163591864,96.9,99.807,True,1.03,True,0.0,0.0,-1.0
26913,163591865,96.9,611.439,True,6.31,True,0.0,0.0,-1.0
26912,163591866,96.89,710.2037,True,7.33,True,-0.00010319917440670956,-1.0,-1.0
26911,163591867,96.9,5696.751,True,58.79,False,0.00010320982557554537,1.0,1.0
26910,163591868,96.9,1425.399,True,14.71,False,0.0,0.0,1.0
26909,163591869,96.9,99.807,True,1.03,False,0.0,0.0,1.0
26908,163591870,96.9,710.277,True,7.33,False,0.0,0.0,1.0
26907,163591871,96.91,3125.3475,True,32.25,False,0.00010319917440648751,1.0,1.0
26906,163591872,96.9,16.473,True,0.17,True,-0.0001031885254358933,-1.0,-1.0
26905,163591873,96.9,99.807,True,1.03,True,0.0,0.0,-1.0
26904,163591874,96.9,74.613,True,0.77,False,0.0,0.0,-1.0
26903,163591875,96.89,203.469,True,2.1,True,-0.00010319917440670956,-1.0,-1.0
26902,163591876,96.9,51.357,True,0.53,False,0.00010320982557554537,1.0,1.0
26901,163591877,96.9,50.388,True,0.52,False,0.0,0.0,1.0
26900,163591878,96.89,426.316,True,4.4,True,-0.00010319917440670956,-1.0,-1.0
26899,163591879,96.89,4120.7317,True,42.53,True,0.0,0.0,-1.0
26898,163591880,96.89,1138.4575,True,11.75,True,0.0,0.0,-1.0
26897,163591881,96.9,499.035,True,5.15,False,0.00010320982557554537,1.0,1.0
26896,163591882,96.9,6626.991,True,68.39,False,0.0,0.0,1.0
26895,163591883,96.9,5652.177,True,58.33,False,0.0,0.0,1.0
26894,163591884,96.9,484.5,True,5.0,False,0.0,0.0,1.0
26893,163591885,96.9,500.004,True,5.16,False,0.0,0.0,1.0
26892,163591886,96.91,4651.68,True,48.0,False,0.00010319917440648751,1.0,1.0
26891,163591887,96.91,98.8482,True,1.02,False,0.0,0.0,1.0
26890,163591888,96.91,29.073,True,0.3,False,0.0,0.0,1.0
26889,163591889,96.91,107.5701,True,1.11,True,0.0,0.0,1.0
26888,163591890,96.91,96.91,True,1.0,True,0.0,0.0,1.0
26887,163591891,96.9,107.559,True,1.11,False,-0.0001031885254358933,-1.0,-1.0
26886,163591892,96.9,391.476,True,4.04,False,0.0,0.0,-1.0
26885,163591893,96.9,51.357,True,0.53,False,0.0,0.0,-1.0
26884,163591894,96.9,159.885,True,1.65,False,0.0,0.0,-1.0
26883,163591895,96.89,1648.0989,True,17.01,True,-0.00010319917440670956,-1.0,-1.0
26882,163591896,96.88,5006.7584,True,51.68,True,-0.00010320982557543434,-1.0,-1.0
26881,163591897,96.88,161.7896,True,1.67,True,0.0,0.0,-1.0
26880,163591898,96.87,96.87,True,1.0,True,-0.00010322047894295583,-1.0,-1.0
26879,163591899,96.87,49.4037,True,0.51,True,0.0,0.0,-1.0
26878,163591900,96.87,133.6806,True,1.38,True,0.0,0.0,-1.0
26877,163591901,96.88,96.88,True,1.0,False,0.00010323113451016219,1.0,1.0
26876,163591902,96.88,999.8016,True,10.32,False,0.0,0.0,1.0
26875,163591903,96.88,31.9704,True,0.33,False,0.0,0.0,1.0
26874,163591904,96.88,109.4744,True,1.13,False,0.0,0.0,1.0
26873,163591905,96.88,8573.88,True,88.5,False,0.0,0.0,1.0
26872,163591906,96.88,532.84,True,5.5,False,0.0,0.0,1.0
26871,163591907,96.88,4776.184,True,49.3,False,0.0,0.0,1.0
26870,163591908,96.88,1863.0024,True,19.23,False,0.0,0.0,1.0
26869,163591909,96.88,2497.5664,True,25.78,False,0.0,0.0,1.0
26868,163591910,96.88,322.6104,True,3.33,False,0.0,0.0,1.0
26867,163591911,96.87,53.2785,True,0.55,True,-0.00010322047894295583,-1.0,-1.0
26866,163591912,96.86,169.505,True,1.75,True,-0.00010323113451027321,-1.0,-1.0
26865,163591913,96.85,975.2795,True,10.07,True,-0.00010324179227760855,-1.0,-1.0
26864,163591914,96.85,2933.5865,True,30.29,True,0.0,0.0,-1.0
26863,163591915,96.85,1088.594,True,11.24,True,0.0,0.0,-1.0
26862,163591916,96.85,176.267,True,1.82,True,0.0,0.0,-1.0
26861,163591917,96.84,43.578,True,0.45,False,-0.00010325245224562796,-1.0,-1.0
26860,163591918,96.83,728.1616,True,7.52,True,-0.00010326311441555269,-1.0,-1.0
26859,163591919,96.83,5249.1543,True,54.21,True,0.0,0.0,-1.0
26858,163591920,96.83,96.83,True,1.0,True,0.0,0.0,-1.0
26857,163591921,96.83,22.2709,True,0.23,False,0.0,0.0,-1.0
26856,163591922,96.83,99.7349,True,1.03,False,0.0,0.0,-1.0
26855,163591923,96.83,899.5507,True,9.29,False,0.0,0.0,-1.0
26854,163591924,96.84,2462.6412,True,25.43,False,0.0001032737787876048,1.0,1.0
26853,163591925,96.84,31.9572,True,0.33,False,0.0,0.0,1.0
26852,163591926,96.85,1999.9525,True,20.65,False,0.00010326311441533065,1.0,1.0
26851,163591927,96.85,5006.1765,True,51.69,False,0.0,0.0,1.0
26850,163591928,96.85,30.992,True,0.32,False,0.0,0.0,1.0
26849,163591929,96.85,1162.2,True,12.0,False,0.0,0.0,1.0
26848,163591930,96.85,3519.529,True,36.34,False,0.0,0.0,1.0
26847,163591931,96.86,130.761,True,1.35,False,0.00010325245224573898,1.0,1.0
26846,163591932,96.88,2809.52,True,29.0,False,0.00020648358455499505,1.0,1.0
26845,163591933,96.88,2198.2072,True,22.69,False,0.0,0.0,1.0
26844,163591934,96.88,627.7824,True,6.48,False,0.0,0.0,1.0
26843,163591935,96.88,499.9008,True,5.16,False,0.0,0.0,1.0
26842,163591936,96.88,1240.064,True,12.8,True,0.0,0.0,1.0
26841,163591937,96.9,902.139,True,9.31,False,0.0002064409578861337,1.0,1.0
26840,163591938,96.89,37.7871,True,0.39,True,-0.00010319917440670956,-1.0,-1.0
26839,163591939,96.88,476.6496,True,4.92,True,-0.00010320982557543434,-1.0,-1.0
26838,163591940,96.88,22.2824,True,0.23,True,0.0,0.0,-1.0
26837,163591941,96.88,5886.4288,True,60.76,True,0.0,0.0,-1.0
26836,163591942,96.88,99.7864,True,1.03,True,0.0,0.0,-1.0
26835,163591943,96.88,775.04,True,8.0,True,0.0,0.0,-1.0
26834,163591944,96.88,96.88,True,1.0,True,0.0,0.0,-1.0
26833,163591945,96.88,775.04,True,8.0,True,0.0,0.0,-1.0
26832,163591946,96.88,775.04,True,8.0,True,0.0,0.0,-1.0
26831,163591947,96.88,74.5976,True,0.77,False,0.0,0.0,-1.0
26830,163591948,96.87,128.8371,True,1.33,True,-0.00010322047894295583,-1.0,-1.0
26829,163591949,96.88,188.916,True,1.95,False,0.00010323113451016219,1.0,1.0
26828,163591950,96.87,1049.1021,True,10.83,True,-0.00010322047894295583,-1.0,-1.0
26827,163591951,96.86,2420.5314,True,24.99,True,-0.00010323113451027321,-1.0,-1.0
26826,163591952,96.86,4649.28,True,48.0,False,0.0,0.0,-1.0
26825,163591953,96.86,48.43,True,0.5,True,0.0,0.0,-1.0
26824,163591954,96.87,25.1862,True,0.26,False,0.00010324179227749752,1.0,1.0
26823,163591955,96.87,1213.7811,True,12.53,False,0.0,0.0,1.0
26822,163591956,96.86,1996.2846,True,20.61,True,-0.00010323113451027321,-1.0,-1.0
26821,163591957,96.86,2707.237,True,27.95,True,0.0,0.0,-1.0
26820,163591958,96.85,160.771,True,1.66,True,-0.00010324179227760855,-1.0,-1.0
26819,163591959,96.85,105.5665,True,1.09,True,0.0,0.0,-1.0
26818,163591960,96.86,98.7972,True,1.02,False,0.00010325245224573898,1.0,1.0
26817,163591961,96.86,95.8914,True,0.99,False,0.0,0.0,1.0
26816,163591962,96.86,214.0606,True,2.21,False,0.0,0.0,1.0
26815,163591963,96.86,2767.2902,True,28.57,False,0.0,0.0,1.0
26814,163591964,96.86,69.7392,True,0.72,False,0.0,0.0,1.0
26813,163591965,96.85,207.259,True,2.14,True,-0.00010324179227760855,-1.0,-1.0
26812,163591966,96.85,834.847,True,8.62,True,0.0,0.0,-1.0
26811,163591967,96.85,199.511,True,2.06,False,0.0,0.0,-1.0
26810,163591968,96.85,114.283,True,1.18,False,0.0,0.0,-1.0
26809,163591969,96.85,86.1965,True,0.89,False,0.0,0.0,-1.0
26808,163591970,96.86,2398.2536,True,24.76,False,0.00010325245224573898,1.0,1.0
26807,163591971,96.86,99.7658,True,1.03,False,0.0,0.0,1.0
26806,163591972,96.86,539.5102,True,5.57,False,0.0,0.0,1.0
26805,163591973,96.87,19.374,True,0.2,False,0.00010324179227749752,1.0,1.0
26804,163591974,96.86,10.6546,True,0.11,False,-0.00010323113451027321,-1.0,-1.0
26803,163591975,96.86,11759.7726,True,121.41,False,0.0,0.0,-1.0
26802,163591976,96.86,476.5512,True,4.92,False,0.0,0.0,-1.0
26801,163591977,96.86,7942.52,True,82.0,False,0.0,0.0,-1.0
26800,163591978,96.86,99.7658,True,1.03,False,0.0,0.0,-1.0
26799,163591979,96.86,1347.3226,True,13.91,False,0.0,0.0,-1.0
26798,163591980,96.87,24.2175,True,0.25,False,0.00010324179227749752,1.0,1.0
26797,163591981,96.87,3993.9501,True,41.23,False,0.0,0.0,1.0
26796,163591982,96.87,3732.4011,True,38.53,False,0.0,0.0,1.0
26795,163591983,96.87,3993.9501,True,41.23,True,0.0,0.0,1.0
26794,163591984,96.87,8404.4412,True,86.76,True,0.0,0.0,1.0
26793,163591985,96.87,5456.6871,True,56.33,True,0.0,0.0,1.0
26792,163591986,96.87,949.326,True,9.8,False,0.0,0.0,1.0
26791,163591987,96.87,1388.1471,True,14.33,False,0.0,0.0,1.0
26790,163591988,96.87,2901.2565,True,29.95,True,0.0,0.0,1.0
26789,163591989,96.86,799.095,True,8.25,True,-0.00010323113451027321,-1.0,-1.0
26788,163591990,96.85,249.873,True,2.58,True,-0.00010324179227760855,-1.0,-1.0
26787,163591991,96.85,1345.2465,True,13.89,True,0.0,0.0,-1.0
26786,163591992,96.86,999.5952,True,10.32,False,0.00010325245224573898,1.0,1.0
26785,163591993,96.86,63.9276,True,0.66,False,0.0,0.0,1.0
26784,163591994,96.85,74.5745,True,0.77,True,-0.00010324179227760855,-1.0,-1.0
26783,163591995,96.86,199.5316,True,2.06,False,0.00010325245224573898,1.0,1.0
26782,163591996,96.87,31.9671,True,0.33,False,0.00010324179227749752,1.0,1.0
26781,163591997,96.86,64.8962,True,0.67,True,-0.00010323113451027321,-1.0,-1.0
26780,163591998,96.87,24.2175,True,0.25,False,0.00010324179227749752,1.0,1.0
26779,163591999,96.87,475.6317,True,4.91,True,0.0,0.0,1.0
26778,163592000,96.87,41.6541,True,0.43,True,0.0,0.0,1.0
26777,163592001,96.88,2011.2288,True,20.76,False,0.00010323113451016219,1.0,1.0
26776,163592002,96.88,949.424,True,9.8,False,0.0,0.0,1.0
26775,163592003,96.88,49.4088,True,0.51,False,0.0,0.0,1.0
26774,163592004,96.88,7434.5712,True,76.74,False,0.0,0.0,1.0
26773,163592005,96.88,203.448,True,2.1,False,0.0,0.0,1.0
26772,163592006,96.87,10.6557,True,0.11,True,-0.00010322047894295583,-1.0,-1.0
26771,163592007,96.87,1162.44,True,12.0,False,0.0,0.0,-1.0
26770,163592008,96.87,310.9527,True,3.21,False,0.0,0.0,-1.0
26769,163592009,96.87,257.6742,True,2.66,False,0.0,0.0,-1.0
26768,163592010,96.87,476.6004,True,4.92,True,0.0,0.0,-1.0
26767,163592011,96.87,1613.8542,True,16.66,True,0.0,0.0,-1.0
26766,163592012,96.87,81.3708,True,0.84,True,0.0,0.0,-1.0
26765,163592013,96.87,42.6228,True,0.44,True,0.0,0.0,-1.0
26764,163592014,96.86,571.474,True,5.9,True,-0.00010323113451027321,-1.0,-1.0
26763,163592015,96.86,1477.115,True,15.25,True,0.0,0.0,-1.0
26762,163592016,96.86,2091.2074,True,21.59,True,0.0,0.0,-1.0
26761,163592017,96.87,171.4599,True,1.77,False,0.00010324179227749752,1.0,1.0
26760,163592018,96.87,99.7761,True,1.03,True,0.0,0.0,1.0
26759,163592019,96.87,45.5289,True,0.47,True,0.0,0.0,1.0
26758,163592020,96.88,79.4416,True,0.82,False,0.00010323113451016219,1.0,1.0
26757,163592021,96.88,2498.5352,True,25.79,False,0.0,0.0,1.0
26756,163592022,96.88,15862.1624,True,163.73,False,0.0,0.0,1.0
26755,163592023,96.88,1260.4088,True,13.01,False,0.0,0.0,1.0
26754,163592024,96.88,1623.7088,True,16.76,False,0.0,0.0,1.0
26753,163592025,96.88,1583.988,True,16.35,False,0.0,0.0,1.0
26752,163592026,96.88,2498.5352,True,25.79,False,0.0,0.0,1.0
26751,163592027,96.88,41797.9072,True,431.44,False,0.0,0.0,1.0
26750,163592028,96.88,7693.2408,True,79.41,False,0.0,0.0,1.0
26749,163592029,96.88,6211.9456,True,64.12,False,0.0,0.0,1.0
26748,163592030,96.88,499.9008,True,5.16,False,0.0,0.0,1.0
26747,163592031,96.89,1264.4145,True,13.05,False,0.00010322047894306685,1.0,1.0
26746,163592032,96.9,149.226,True,1.54,False,0.00010320982557554537,1.0,1.0
26745,163592033,96.9,48.45,True,0.5,False,0.0,0.0,1.0
26744,163592034,96.91,550.4488,True,5.68,True,0.00010319917440648751,1.0,1.0
26743,163592035,96.91,6003.5745,True,61.95,True,0.0,0.0,1.0
26742,163592036,96.91,3995.5993,True,41.23,True,0.0,0.0,1.0
26741,163592037,96.91,14162.4274,True,146.14,True,0.0,0.0,1.0
26740,163592038,96.91,3957.8044,True,40.84,True,0.0,0.0,1.0
26739,163592039,96.9,209.304,True,2.16,True,-0.0001031885254358933,-1.0,-1.0
26738,163592040,96.9,25.194,True,0.26,True,0.0,0.0,-1.0
26737,163592041,96.89,212.1891,True,2.19,True,-0.00010319917440670956,-1.0,-1.0
26736,163592042,96.88,139.5072,True,1.44,False,-0.00010320982557543434,-1.0,-1.0
26735,163592043,96.88,101.724,True,1.05,False,0.0,0.0,-1.0
26734,163592044,96.88,109.4744,True,1.13,False,0.0,0.0,-1.0
26733,163592045,96.88,99.7864,True,1.03,True,0.0,0.0,-1.0
26732,163592046,96.88,21.3136,True,0.22,False,0.0,0.0,-1.0
26731,163592047,96.88,89.1296,True,0.92,True,0.0,0.0,-1.0
26730,163592048,96.89,39.7249,True,0.41,False,0.00010322047894306685,1.0,1.0
26729,163592049,96.89,115.2991,True,1.19,False,0.0,0.0,1.0
26728,163592050,96.89,535.8017,True,5.53,False,0.0,0.0,1.0
26727,163592051,96.89,499.9524,True,5.16,False,0.0,0.0,1.0
26726,163592052,96.91,96.91,True,1.0,True,0.00020641965115064664,1.0,1.0
26725,163592053,96.92,157.0104,True,1.62,False,0.00010318852543611534,1.0,1.0
26724,163592054,96.91,7122.885,True,73.5,True,-0.00010317787866287453,-1.0,-1.0
26723,163592055,96.91,99.8173,True,1.03,True,0.0,0.0,-1.0
26722,163592056,96.91,201.5728,True,2.08,True,0.0,0.0,-1.0
26721,163592057,96.91,479.7045,True,4.95,True,0.0,0.0,-1.0
26720,163592058,96.91,775.28,True,8.0,True,0.0,0.0,-1.0
26719,163592059,96.91,96.91,True,1.0,True,0.0,0.0,-1.0
26718,163592060,96.91,775.28,True,8.0,True,0.0,0.0,-1.0
26717,163592061,96.91,775.28,True,8.0,True,0.0,0.0,-1.0
26716,163592062,96.91,591.151,True,6.1,True,0.0,0.0,-1.0
26715,163592063,96.89,476.6988,True,4.92,False,-0.00020637705087189762,-1.0,-1.0
26714,163592064,96.89,373.0265,True,3.85,False,0.0,0.0,-1.0
26713,163592065,96.91,2393.677,True,24.7,False,0.00020641965115064664,1.0,1.0
26712,163592066,96.91,2451.823,True,25.3,False,0.0,0.0,1.0
26711,163592067,96.91,28.1039,True,0.29,False,0.0,0.0,1.0
26710,163592068,96.91,500.0556,True,5.16,False,0.0,0.0,1.0
26709,163592069,96.91,571.769,True,5.9,False,0.0,0.0,1.0
26708,163592070,96.91,155.056,True,1.6,True,0.0,0.0,1.0
26707,163592071,96.91,196.7273,True,2.03,True,0.0,0.0,1.0
26706,163592072,96.92,90.1356,True,0.93,False,0.00010318852543611534,1.0,1.0
26705,163592073,96.92,410.9408,True,4.24,False,0.0,0.0,1.0
26704,163592074,96.91,96.91,True,1.0,True,-0.00010317787866287453,-1.0,-1.0
26703,163592075,96.91,1162.92,True,12.0,True,0.0,0.0,-1.0
26702,163592076,96.91,2710.5727,True,27.97,True,0.0,0.0,-1.0
26701,163592077,96.91,775.28,True,8.0,True,0.0,0.0,-1.0
26700,163592078,96.91,775.28,True,8.0,True,0.0,0.0,-1.0
26699,163592079,96.91,3995.5993,True,41.23,True,0.0,0.0,-1.0
26698,163592080,96.9,775.2,True,8.0,True,-0.0001031885254358933,-1.0,-1.0
26697,163592081,96.9,7223.895,True,74.55,True,0.0,0.0,-1.0
26696,163592082,96.9,195.738,True,2.02,True,0.0,0.0,-1.0
26695,163592083,96.9,4998.102,True,51.58,True,0.0,0.0,-1.0
26694,163592084,96.9,400.197,True,4.13,True,0.0,0.0,-1.0
26693,163592085,96.89,3994.7747,True,41.23,True,-0.00010319917440670956,-1.0,-1.0
26692,163592086,96.89,4997.5862,True,51.58,True,0.0,0.0,-1.0
26691,163592087,96.89,622.0338,True,6.42,True,0.0,0.0,-1.0
26690,163592088,96.89,400.1557,True,4.13,True,0.0,0.0,-1.0
26689,163592089,96.89,2225.5633,True,22.97,True,0.0,0.0,-1.0
26688,163592090,96.9,149.226,True,1.54,False,0.00010320982557554537,1.0,1.0
26687,163592091,96.9,406.98,True,4.2,False,0.0,0.0,1.0
26686,163592092,96.9,510.663,True,5.27,False,0.0,0.0,1.0
26685,163592093,96.9,413.763,True,4.27,False,0.0,0.0,1.0
26684,163592094,96.9,193.8,True,2.0,False,0.0,0.0,1.0
26683,163592095,96.9,263.568,True,2.72,False,0.0,0.0,1.0
26682,163592096,96.91,1787.0204,True,18.44,False,0.00010319917440648751,1.0,1.0
26681,163592097,96.9,155.04,True,1.6,False,-0.0001031885254358933,-1.0,-1.0
26680,163592098,96.9,196.707,True,2.03,False,0.0,0.0,-1.0
26679,163592099,96.9,99.807,True,1.03,False,0.0,0.0,-1.0
26678,163592100,96.9,82.365,True,0.85,False,0.0,0.0,-1.0
26677,163592101,96.89,38.756,True,0.4,True,-0.00010319917440670956,-1.0,-1.0
26676,163592102,96.9,468.996,True,4.84,False,0.00010320982557554537,1.0,1.0
26675,163592103,96.9,4651.2,True,48.0,False,0.0,0.0,1.0
26674,163592104,96.9,1938.0,True,20.0,False,0.0,0.0,1.0
26673,163592105,96.91,5378.505,True,55.5,False,0.00010319917440648751,1.0,1.0
26672,163592106,96.92,144.4108,True,1.49,False,0.00010318852543611534,1.0,1.0
26671,163592107,96.92,70.7516,True,0.73,False,0.0,0.0,1.0
26670,163592108,96.92,776.3292,True,8.01,False,0.0,0.0,1.0
26669,163592109,96.92,969.2,True,10.0,False,0.0,0.0,1.0
26668,163592110,96.92,58.152,True,0.6,False,0.0,0.0,1.0
26667,163592111,96.92,48.46,True,0.5,False,0.0,0.0,1.0
26666,163592112,96.93,219.0618,True,2.26,False,0.00010317787866287453,1.0,1.0
26665,163592113,96.93,3464.2782,True,35.74,False,0.0,0.0,1.0
26664,163592114,96.93,494.343,True,5.1,False,0.0,0.0,1.0
26663,163592115,96.93,124.0704,True,1.28,True,0.0,0.0,1.0
26662,163592116,96.94,150.257,True,1.55,False,0.000103167234086321,1.0,1.0
26661,163592117,96.94,95.0012,True,0.98,False,0.0,0.0,1.0
26660,163592118,96.95,98.889,True,1.02,False,0.0001031565917062327,1.0,1.0
26659,163592119,96.95,2399.5125,True,24.75,False,0.0,0.0,1.0
26658,163592120,96.95,96.95,True,1.0,True,0.0,0.0,1.0
26657,163592121,96.94,1452.1612,True,14.98,True,-0.00010314595152149941,-1.0,-1.0
26656,163592122,96.94,12.6022,True,0.13,True,0.0,0.0,-1.0
26655,163592123,96.93,548.6238,True,5.66,True,-0.00010315659170612168,-1.0,-1.0
26654,163592124,96.93,96.93,True,1.0,True,0.0,0.0,-1.0
26653,163592125,96.93,96.93,True,1.0,True,0.0,0.0,-1.0
26652,163592126,96.93,193.86,True,2.0,True,0.0,0.0,-1.0
26651,163592127,96.93,96.93,True,1.0,True,0.0,0.0,-1.0
26650,163592128,96.93,775.44,True,8.0,True,0.0,0.0,-1.0
26649,163592129,96.93,775.44,True,8.0,True,0.0,0.0,-1.0
26648,163592130,96.93,775.44,True,8.0,True,0.0,0.0,-1.0
26647,163592131,96.92,44.5832,True,0.46,True,-0.00010316723408654305,-1.0,-1.0
26646,163592132,96.92,49.4292,True,0.51,True,0.0,0.0,-1.0
26645,163592133,96.95,177.4185,True,1.83,False,0.00030953363598840156,1.0,1.0
26644,163592134,96.94,11.6328,True,0.12,True,-0.00010314595152149941,-1.0,-1.0
26643,163592135,96.95,466.3295,True,4.81,False,0.0001031565917062327,1.0,1.0
26642,163592136,96.95,500.262,True,5.16,False,0.0,0.0,1.0
26641,163592137,96.96,22.3008,True,0.23,False,0.00010314595152127737,1.0,1.0
26640,163592138,96.96,102.7776,True,1.06,False,0.0,0.0,1.0
26639,163592139,96.96,395.5968,True,4.08,False,0.0,0.0,1.0
26638,163592140,96.95,96.95,True,1.0,True,-0.00010313531353123295,-1.0,-1.0
26637,163592141,96.96,71.7504,True,0.74,False,0.00010314595152127737,1.0,1.0
26636,163592142,96.96,82.416,True,0.85,False,0.0,0.0,1.0
26635,163592143,96.96,98.8992,True,1.02,False,0.0,0.0,1.0
26634,163592144,96.96,499.344,True,5.15,False,0.0,0.0,1.0
26633,163592145,96.97,367.5163,True,3.79,True,0.000103135313531455,1.0,1.0
26632,163592146,96.97,1008.488,True,10.4,True,0.0,0.0,1.0
26631,163592147,96.97,1163.64,True,12.0,True,0.0,0.0,1.0
26630,163592148,96.97,1939.4,True,20.0,True,0.0,0.0,1.0
26629,163592149,96.96,5964.9792,True,61.52,False,-0.00010312467773543332,-1.0,-1.0
26628,163592150,96.96,99.8688,True,1.03,False,0.0,0.0,-1.0
26627,163592151,96.96,10.6656,True,0.11,True,0.0,0.0,-1.0
26626,163592152,96.96,46.5408,True,0.48,True,0.0,0.0,-1.0
26625,163592153,96.95,14.5425,True,0.15,True,-0.00010313531353123295,-1.0,-1.0
26624,163592154,96.96,2930.1312,True,30.22,False,0.00010314595152127737,1.0,1.0
26623,163592155,96.95,3275.9405,True,33.79,True,-0.00010313531353123295,-1.0,-1.0
26622,163592156,96.95,96.95,True,1.0,True,0.0,0.0,-1.0
26621,163592157,96.95,3997.2485,True,41.23,True,0.0,0.0,-1.0
26620,163592158,96.95,5660.9105,True,58.39,True,0.0,0.0,-1.0
26619,163592159,96.95,4653.6,True,48.0,True,0.0,0.0,-1.0
26618,163592160,96.95,447.909,True,4.62,True,0.0,0.0,-1.0
26617,163592161,96.95,4754.428,True,49.04,True,0.0,0.0,-1.0
26616,163592162,96.97,81.4548,True,0.84,False,0.00020629190304277678,1.0,1.0
26615,163592163,96.96,96.96,True,1.0,True,-0.00010312467773543332,-1.0,-1.0
26614,163592164,96.95,387.8,True,4.0,False,-0.00010313531353123295,-1.0,-1.0
26613,163592165,96.95,87.255,True,0.9,False,0.0,0.0,-1.0
26612,163592166,96.95,9.695,True,0.1,False,0.0,0.0,-1.0
26611,163592167,96.95,2908.5,True,30.0,False,0.0,0.0,-1.0
26610,163592168,96.96,1243.9968,True,12.83,False,0.00010314595152127737,1.0,1.0
26609,163592169,96.95,33.9325,True,0.35,True,-0.00010313531353123295,-1.0,-1.0
26608,163592170,96.96,33.936,True,0.35,False,0.00010314595152127737,1.0,1.0
26607,163592171,96.95,29.085,True,0.3,True,-0.00010313531353123295,-1.0,-1.0
26606,163592172,96.95,33.9325,True,0.35,True,0.0,0.0,-1.0
26605,163592173,96.95,638.9005,True,6.59,False,0.0,0.0,-1.0
26604,163592174,96.95,426.58,True,4.4,False,0.0,0.0,-1.0
26603,163592175,96.94,97.9094,True,1.01,True,-0.00010314595152149941,-1.0,-1.0
26602,163592176,96.94,40.7148,True,0.42,True,0.0,0.0,-1.0
26601,163592177,96.94,96.94,True,1.0,True,0.0,0.0,-1.0
26600,163592178,96.94,10.6634,True,0.11,True,0.0,0.0,-1.0
26599,163592179,96.94,299.5446,True,3.09,False,0.0,0.0,-1.0
26598,163592180,96.94,99.8482,True,1.03,False,0.0,0.0,-1.0
26597,163592181,96.95,100.828,True,1.04,False,0.0001031565917062327,1.0,1.0
26596,163592182,96.94,155.104,True,1.6,True,-0.00010314595152149941,-1.0,-1.0
26595,163592183,96.94,86.2766,True,0.89,True,0.0,0.0,-1.0
26594,163592184,96.94,96.94,True,1.0,True,0.0,0.0,-1.0
26593,163592185,96.94,280.1566,True,2.89,True,0.0,0.0,-1.0
26592,163592186,96.94,37.8066,True,0.39,True,0.0,0.0,-1.0
26591,163592187,96.94,781.3364,True,8.06,True,0.0,0.0,-1.0
26590,163592188,96.94,13.5716,True,0.14,True,0.0,0.0,-1.0
26589,163592189,96.94,24.235,True,0.25,True,0.0,0.0,-1.0
26588,163592190,96.93,775.44,True,8.0,True,-0.00010315659170612168,-1.0,-1.0
26587,163592191,96.93,223.9083,True,2.31,True,0.0,0.0,-1.0
26586,163592192,96.93,255.8952,True,2.64,True,0.0,0.0,-1.0
26585,163592193,96.93,295.6365,True,3.05,True,0.0,0.0,-1.0
26584,163592194,96.93,775.44,True,8.0,True,0.0,0.0,-1.0
26583,163592195,96.93,631.0143,True,6.51,True,0.0,0.0,-1.0
26582,163592196,96.92,168.6408,True,1.74,True,-0.00010316723408654305,-1.0,-1.0
26581,163592197,96.92,14.538,True,0.15,True,0.0,0.0,-1.0
26580,163592198,96.92,195.7784,True,2.02,True,0.0,0.0,-1.0
26579,163592199,96.92,4998.1644,True,51.57,True,0.0,0.0,-1.0
26578,163592200,96.92,496.2304,True,5.12,True,0.0,0.0,-1.0
26577,163592201,96.92,4512.5952,True,46.56,True,0.0,0.0,-1.0
26576,163592202,96.92,775.36,True,8.0,True,0.0,0.0,-1.0
26575,163592203,96.9,132.753,True,1.37,True,-0.00020635575732563805,-1.0,-1.0
26574,163592204,96.89,15.5024,True,0.16,False,-0.00010319917440670956,-1.0,-1.0
26573,163592205,96.89,10.6579,True,0.11,False,0.0,0.0,-1.0
26572,163592206,96.9,96.9,True,1.0,False,0.00010320982557554537,1.0,1.0
26571,163592207,96.9,969.969,True,10.01,False,0.0,0.0,1.0
26570,163592208,96.91,35.8567,True,0.37,False,0.00010319917440648751,1.0,1.0
26569,163592209,96.91,4462.7055,True,46.05,False,0.0,0.0,1.0
26568,163592210,96.91,546.5724,True,5.64,False,0.0,0.0,1.0
26567,163592211,96.91,1162.92,True,12.0,True,0.0,0.0,1.0
26566,163592212,96.91,475.8281,True,4.91,True,0.0,0.0,1.0
26565,163592213,96.91,356.6288,True,3.68,True,0.0,0.0,1.0
26564,163592214,96.91,99.8173,True,1.03,True,0.0,0.0,1.0
26563,163592215,96.91,943.9034,True,9.74,False,0.0,0.0,1.0
26562,163592216,96.91,258.7497,True,2.67,False,0.0,0.0,1.0
26561,163592217,96.91,241.3059,True,2.49,False,0.0,0.0,1.0
26560,163592218,96.93,126.9783,True,1.31,True,0.00020637705087200864,1.0,1.0
